Afrikaans	Danish	Dutch	English	Esperanto	Filipino	French	German	Hawaiian	Irish	Italian	Latin	Maori	Norwegian	Portuguese	Sachin-Speak	Spanish	Swahili	Swedish	Welsh	Zulu	
sal	vil	zal	will	volo	pamanahan	volonté	werden	makemake	beidh	volontà	voluntas	e pai	vil	vontade	?	lo hará	mapenzi	kommer	bydd	kuthanda	
hoe	hvordan	hoe	how	kiom	kung paano	comment	wie	pehea	conas	come	quam	pehea	hvordan	como	?	cómo	jinsi	hur	sut	indlela	
gesê	sagde	zei	said	diris	sinabi	dit	sagte	mai la	dúirt	suddetto	dixitque	mea	sa	disse	?	dicho	alisema	sa	dywedodd	uthe	
‘n	en	een	an	kiel	isang	un	ein	kekahi	ar	un	an	he	en	uma	?	un	an	ett	mae	an	
elke	hver	elk	each	ĉiu	bawat	chaque	jeder	kela a me keia	gach	ogni	quisque	ia	hver	cada	?	cada	kila	varje	pob un	ngamunye	
vertel	fortælle	vertellen	tell	diru	sabihin	dire	sagen	hai aku	insint	dire	indica	korero ki	fortelle	dizer	?	decir	kuwaambia	berätta	dweud	ukutshela	
doen	gør	doet	does	faras	gumagana	ne	tut	hana	dhéanann	fa	quod	meatia e	gjør	faz	?	hace	gani	gör	gwneud	enza	
stel	sæt	set	set	aro	hanay	ensemble	satz	i	leagtha	set	set	huinga	sett	conjunto	?	conjunto	kuweka	uppsättning	set	setha	
drie	tre	drie	three	tri	tatlong	trois	drei	ʻekolu	trí	tre	tribus	e toru	tre	três	?	tres	tatu	tre	tri	amathathu	
wil	ønsker	willen	want	volas	gusto	vouloir	wollen	makemake	ba mhaith	desiderare	volo	hiahia	ønsker	quer	?	querer	wanataka	vill	eisiau	bafuna	
lug	luft	lucht	air	aero	naka	air	luft	ea	aer	aria	aer	hau	luft	ar	?	aire	hewa	luft	aer	air	
goed	godt	goed	well	bone	na rin	bien	gut	pono	go maith	bene	etiam	pai	godt	bem	?	así	vizuri	väl	yn dda	kahle	
ook	også	ook	also	ankaŭ	ring	aussi	auch	no hoi	freisin	anche	etiam	hoki	også	também	?	también	pia	också	hefyd	futhi	
speel	spille	spelen	play	ludos	maglaro	jouer	spielen	paani	imirt	giocare	fabula	te tākaro	spille	jogar	?	jugar	kucheza	spela	chwarae	udlale	
klein	lille	klein	small	malgranda	maliit	petit	klein	uuku	beag	piccolo	parva	iti	liten	pequeno	?	pequeño	ndogo	liten	bach	amancane	
einde	ende	end	end	fino	pagtatapos	fin	ende	hopena	deireadh	fine	finem	mutunga	ende	fim	?	fin	mwisho	ände	pen	ukuphela	
sit	sætte	zetten	put	metita	ilagay	mettre	setzen	kau	chur	mettere	posuit	maka	sette	colocar	?	poner	kuweka	sätta	rhoi	abeke	
huis	hjem	thuis	home	hejmo	tahanan	maison	zuhause	ka hale	baile	casa	domum	te kāinga	hjem	casa	?	casa	nyumbani	hem	cartref	ikhaya	
lees	læse	lezen	read	legi	basahin	lire	lesen	heluhelu mai o	léamh	leggere	lego	tai’o	lese	ler	?	leer	kusoma	läsa	darllen	funda	
hand	hånd	de hand	hand	manoj	kamay	main	seits	lima	lámh	mano	manibus	ringa	hånd	mão	?	mano	mkono	sidan	llaw	isandla	
hawe	havn	poort	port	port	port	port	hafen	ke awa	calafoirt	porto	portus	tauranga	port	port	?	puerto	bandari	port	porthladd	echwebeni	
groot	stor	grote	large	granda	malaki	grand	groß	nui	mór	grande	magna	nui	stor	grande	?	grande	kubwa	stor	mawr	ende	
spel	stave	spell	spell	literumi	oras ng paggawa	épeler	buchstabieren	wale	litriú	compitare	eamque	takikupu	stave	soletrar	?	deletrear	spell	stava	sillafu	luzosho	
voeg	tilføje	toevoegen	add	aldoni	magdagdag	ajouter	hinzufügen	hui	cuir	aggiungere	addunt	tāpiri i	legge	adicionar	?	añadir	kuongeza	lägg	ychwanegu	ukwengeza	
selfs	selv	zelfs	even	eĉ	kahit na	même	auch	a hiki	fiú	anche	etiam	ara	selv	mesmo	?	incluso	hata	även	hyd yn oed	yebo	
land	jord	land	land	lando	lupa	terre	lande	aina	talamh	terra	terra	te whenua	landet	terra	?	tierra	ardhi	mark	tir	izwe	
hier	her	hier	here	tien	dito	ici	hier	maanei	anseo	qui	hic	i konei	her	aqui	?	aquí	hapa	här	yma	lapha	
moet	skal	moet	must	devas	kailangan	il faut	muss	pono	ní mór	mosto	necesse	me	må	necessário	?	debe	lazima	must	rhaid	kumele	
groot	stor	grote	big	granda	malaki	grand	groß	nui	mór	grande	magnum	nui	big	grande	?	grande	kubwa	stor	mawr	enkulu	
hoë	høj	hoog	high	alta	mataas	haut	hoch	kiʻekiʻe	ard	alto	princeps	tiketike	høy	alto	?	alto	high	hög	uchel	high	
sodanige	sådan	dergelijke	such	tiaj	tulad	tel	so	ia	den sórt sin a	tale	talis	i taua	slik	tais	?	tal	kama	sådan	fath	enjalo	
volg	følg	volgen	follow	sekvi	sundin	suivre	folgen	hahai	leanúint	seguire	sequitur	te whai	følg	siga	?	siga	kufuata	följ	dilyn	ukulandela	
wet	handling	act	act	akto	kumilos	acte	akt	hana	gníomh	atto	actum	mahi	handle	ato	?	acto	tendo	handling	gweithredu	isenzo	
hoekom	hvorfor	waarom	why	kial	bakit	pourquoi	warum	no ke aha mai	cén fáth	perché	quid	he aha	hvorfor	por que	?	por qué	kwa nini	varför	pam	kungani	
vra	spørge	vragen	ask	demandu	magtanong	interroger	fragen	noi	a iarraidh	chiedere	quaeris	ui	spør	perguntar	?	preguntar	kuuliza	be	gofyn	cela	
mans	mænd	mannen	men	viroj	mga lalaki	hommes	männer	kanaka	fir	maschi	homines	tangata	menn	homens	?	hombres	wanaume	män	dynion	amadoda	
verandering	ændring	verandering	change	ŝanĝo	pagbabago	changement	veränderung	loli	athraithe	cambiamento	mutatio	huringa	endring	mudança	?	cambio	mabadiliko ya	förändring	newid	ushintsho	
gegaan	gik	ging	went	eniris	nagpunta	est allé	ging	hele	chuaigh	è andato	abiit	haere	gikk	fui	?	se fue	akaenda	gick	aeth	waya	
lig	lys	licht	light	malpeza	liwanag	lumière	licht	malamalama	solas	luce	lucem	te marama	lys	luz	?	luz	mwanga	ljus	golau	ukukhanya	
soort	slags	soort	kind	afabla	uri	genre	art	keia ano	chineál	tipo	quaedam	atawhai	kind	tipo	?	tipo	aina	slag	fath	uhlobo	
af	off	uitgeschakeld	off	ekstere	mula sa	de	aus	aku	amach	spento	off	atu	off	off	?	fuera	mbali	off	off	off	
nodig	brug	nodig hebben	need	bezonas	kailangan	besoin	müssen	pono	ní mór	bisogno	opus	me	trenger	precisa	?	necesitará	haja	behöver	angen	badinga	
huis	hus	huis	house	domo	bahay	maison	haus	ka hale	teach	casa	domus	whare	huset	casa	?	casa	nyumba	hus	tŷ	indlu	
prentjie	billede	afbeelding	picture	foton	larawan	image	bild	kiʻi	pictiúr	immagine	ipsum	pikitia	bilde	imagem	?	imagen	picha	bilden	llun	yendaba	
probeer	prøv	proberen	try	provu	subukan	essayer	versuchen	hoao	iarracht	provare	tentant	tamata	prøve	tentar	?	tratar	kujaribu	försök	ceisiwch	sizame	
ons	os	ons	us	nin	atin	nous	uns	makou	dúinn	noi	nos	tatou	oss	nós	?	nosotros	sisi	oss	ni	nathi	
weer	igen	weer	again	denove	muli	encore	wieder	hou	arís	di nuovo	rursus	ano	igjen	novamente	?	de nuevo	tena	igen	eto	futhi	
dier	dyr	dier	animal	besto	hayop	animal	tier	holoholona	ainmhithe	animale	pecus	kararehe	dyr	animais	?	animal	mnyama	djur	anifail	animal	
punt	punkt	punt	point	punkto	punto	point	punkt	wahi	pointe	punto	punctum	tata	punkt	ponto	?	punto	uhakika	punkt	pwynt	phuzu	
ma	mor	moeder	mother	patrino	nanay	mère	mutter	makuahine	máthair	madre	mater	whaea	mor	mãe	?	madre	mama	mor	mam	umama	
wêreld	verden	wereld	world	mondo	mundo	monde	welt	ao	domhan	mondo	orbis	te ao	verden	mundo	?	mundo	dunia	världen	byd	umhlaba	
naby	nær	dichtbij	near	proksime	malapit	près de	in der nähe von	kokoke	in aice le	vicino	prope	tata	nær	perto	?	cerca	karibu	nära	ger	tsini	
bou	bygge	bouwen	build	konstrui	magtayo	construire	bauen	hana	a thógáil	costruire	ædificabis	hanga	bygge	construir	?	construir	kujenga	bygga	adeiladu	ukwakha	
self	selv	zelf	self	aŭto	sarili	soi	selbst	iho	féin	se stesso	ipsum	whaiaro	selv	auto	?	auto	binafsi	själv	hunan	wokuzilimaza	
aarde	jord	aarde	earth	tero	lupa	terre	erde	honua	cré	terra	terra	te whenua	jorden	terra	?	tierra	dunia	jord	ddaear	emhlabeni	
vader	far	vader	father	patro	ama	père	vater	makuakāne	athair	padre	pater	papa	far	pai	?	padre	baba	far	tad	ubaba	
enige	enhver	een	any	ajna	anumang	tout	jeder	kekahi	aon	qualsiasi	aliqua	tetahi	noen	qualquer	?	cualquier	yoyote	någon	unrhyw	yisiphi	
nuwe	ny	nieuwe	new	nova	bago	nouveau	neu	hou	nua	nuovo	novum	hou	ny	novo	?	nuevo	mpya	ny	newydd	omusha	
werk	arbejde	werk	work	laboro	trabaho	travail	arbeit	hana	obair	lavoro	opus	mahi	arbeid	trabalho	?	trabajo	kazi	arbete	gwaith	umsebenzi	
deel	del	deel	part	parto	bahagi	partie	teil	hapa	chuid	parte	pars	wāhanga	del	parte	?	parte	sehemu	delen	rhan	okuyingxenye	
neem	tage	nemen	take	preni	kumuha	prendre	nehmen	lawe	ghlacadh	prendere	accipe	tango	ta	tomar	?	tomar	kuchukua	ta	cymryd	kuthathe	
kry	få	krijgen	get	akiri	kumuha	obtenir	erhalten	loaa	a fháil	ottenere	adepto	whiwhi	få	obter	?	conseguir	kupata	få	cael	uthole	
plek	sted	plaats	place	loko	lugar	lieu	ort	wahi	áit	posto	pro eo	wahi	sted	lugar	?	lugar	mahali	plats	lle	indawo	
gemaak	lavet	gemaakt	made	faris	ginawa	fabriqué	gemacht	hana	déanta	fatto	factum	hanga	gjort	feito	?	hecho	alifanya	gjort	wnaed	ezenziwe	
lewe	leve	wonen	live	vivi	mabuhay	vivre	leben	ola	beo	vivere	vivo	ora	leve	viver	?	vivir	kuishi	lever	byw	siphile	
waar	hvor	waar	where	kie	saan	où	wo	kahi	i gcás ina	dove	ubi	i reira	der	onde	?	donde	ambapo	där	lle	lapho	
na	efter	na	after	post	pagkatapos	après	nach	mahope iho o	tar éis	dopo	postquam	i muri i	etter	depois	?	después	baada ya	efter	ar ôl	emva	
terug	tilbage	terug	back	reen	likod	arrière	zurück	i hope	ar ais	indietro	rursus	hoki	tilbake	de volta	?	espalda	nyuma	tillbaka	yn ôl	back	
bietjie	lidt	weinig	little	iom	maliit	peu	wenig	iki	beag	poco	parum	iti	lite	pouco	?	poco	kidogo	liten	bach	kancane	
slegs	kun	alleen	only	nur	lamang	seulement	nur	wale no	ach	solo	nisi	anake	bare	apenas	?	sólo	tu	endast	yn unig	kodwa	
ronde	runde	ronde	round	ronda	pag-ikot	tour	runde	a	bhabhta	turno	per	tawhio	runde	rodada	?	ronda	pande zote	rund	rownd	nxazonke	
man	mand	man	man	viro	tao	homme	mann	kanaka	fear	uomo	hominis	te tangata	mann	homem	?	hombre	mtu	människa	dyn	man	
jaar	år	jaar	year	jaro	taon	année	jahr	makahiki	bliain	anno	anno	tau	år	ano	?	años	mwaka	år	flwyddyn	ngonyaka	
gekom	kom	kwam	came	venis	dumating	est venu	kam	hele mai	tháinig	è venuto	factum	haere mai	kom	veio	?	vino	alikuja	kom	daeth	weza	
show	vis	show	show	spektaklo	palabas	montrer	zeigen	hoike	thaispeáint	spettacolo	ostende	whakaatu	vis	exposição	?	show	onyesha	visar	sioe	bonisa	
elke	hver	elke	every	ĉiu	bawat	tous	jeder	o kela	gach	ogni	omnis	nga	alle	cada	?	cada	kila	varje	bob	njalo	
goeie	god	goed	good	bonaj	mabuti	bon	gut	maikaʻi loa	maith	buono	bonum	pai	god	bom	?	buena	nzuri	bra	dda	okuhle	
my	mig	mij	me	min	sa akin	moi	mir	mai iaʻu	dom	me	me	ahau	meg	me	?	me	mimi	mig	mi	me	
gee	giver	geven	give	doni	magbigay	donner	geben	haawi	thabhairt	dare	dabit	hoatu	gi	dar	?	dar	kutoa	ge	rhoi	pha	
ons	vores	onze	our	nian	ang aming	notre	unsere	makou	ár n	il nostro	nostrum	to tatou	vår	nossa	?	nuestro	wetu	vår	ein	ethu	
onder	under	onder	under	sub	sa ilalim	sous	unter	malalo o	faoi	sotto	sub	i raro i	etter	sob	?	bajo	chini ya	enligt	o dan	ngaphansi	
naam	navn	naam	name	nomo	pangalan	nom	name	inoa	ainm	nome	nomen	ingoa	navn	nome	?	nombre	jina	namn	enw	igama	
baie	meget	zeer	very	tre	napaka	très	sehr	loa	an	molto	ipsum	rawa	veldig	muito	?	muy	sana	mycket	iawn	kakhulu	
deur	gennem	door	through	per	sa pamamagitan ng	par	durch	ma	trí	attraverso	per	i roto i	gjennom	através	?	a través de	kupitia	genom	trwy	ngokusebenzisa	
net	bare	gewoon	just	simple	lamang	juste	nur	pono	ach	solo	iustus	tika	bare	justo	?	sólo	tu	bara	yn unig	nje	
vorm	formular	vorm	form	formo	paraan	forme	formular	ano	fhoirm	forma	forma	puka	skjema	forma	?	forma	aina	formulär	ffurflen	ifomu	
vonnis	sætning	zin	sentence	kondamno	pangungusap	phrase	satz	olelo	abairt	frase	sententia	rerenga kōrero	setning	sentença	?	frase	hukumu	meningen	dedfryd	uhlamvu	
groot	stor	grote	great	granda	mahusay	grand	groß	nui	mór	grande	magna	nui	stor	grande	?	gran	kubwa	bra	mawr	okukhulu	
dink	tænke	denken	think	pensas	palagay	penser	denken	manao	i mo thuairimse	pensare	puto	whakaaro	tror	acho que	?	pensar	kufikiri	tro	meddwl	acabange	
sê	sige	zeggen	say	diras	sabihin	dire	sagen	aku nei au	rá	dire	dicunt	mea	si	dizer	?	decir	kusema	säga	dweud	bathi	
help	hjælpe	helpen	help	helpi	tulungan	aider	hilfe	kokua	cabhrú	aiutare	adiuva	tauturu i te	hjelpe	ajudar	?	ayudar	msaada	hjälpa	helpu	usize	
lae	lav	laag	low	malalta	mababa	faible	niedrig	haahaa	íseal	basso	humilis	iti	lav	baixo	?	bajo	chini	låg	isel	ongaphakeme	
lyn	linje	lijn	line	linio	linya	ligne	linie	laina	líne	linea	line	raina	etter	linha	?	línea	line	linje	llinell	line	
verskil	afvige	verschillen	differ	diferenciĝas	mag-iba	différer	abweichen	oko	difriúil	differire	differunt	rerekē	avvike	diferir	?	ser distinto	tofauti	skiljer	yn wahanol	ihluke	
beurt	tur	beurt	turn	siavice	pagliko	tour	wiederum	huli	cas	turno	vicissim	tahuri	sving	vez	?	a su vez	upande	tur	dro	baphendukela	
oorsaak	årsag	oorzaak	cause	kaŭzo	dahilan	la cause	ursache	kumu	faoi deara	causa	causa	take	årsaken	causa	?	causa	sababu	orsak	achos	kwesizathu	
veel	meget	veel	much	multa	magkano	beaucoup	viel	nui	i bhfad	molto	tantum	nui	mye	muito	?	mucho	kiasi	mycket	llawer	okuningi	
beteken	betyde	betekenen	mean	signifus	ibig sabihin	signifier	bedeuten	ke ano o	ciallóidh	dire	significant	te tikanga	mener	significar	?	significará	maana	betyda	golygu	asho	
voor	før	voor	before	antaŭ	bago	avant	vor	imua o	roimh	prima	antequam	i mua i	før	antes	?	antes	kabla ya	före	cyn	ngaphambi	
skuif	træk	verhuizing	move	movado	paglipat	déménagement	umzug	hu	bogadh	spostare	movemur	nekehanga	flytte	mudança	?	movimiento	hoja	drag	symud	ukuthutha	
reg	højre	rechts	right	dekstra	karapatan	droit	recht	akau	ceart	diritto	ius	matau	høyre	direito	?	derecho	haki	höger	hawl	kwesokudla	
seuntjie	dreng	jongen	boy	knabo	batang lalaki	garçon	junge	keiki	buachaill	ragazzo	puer	tamaiti	gutt	menino	?	niño	mvulana	pojke	bachgen	mfana	
ou	gamle	oude	old	malnova	luma	vieux	alt	ka wa kahiko	d’aois	vecchio	vetus	tau	gammel	velho	?	viejo	umri wa	gammal	oed	endala	
te	også	ook	too	tro	masyado	trop	zu	oi aku	freisin	troppo	etiam	rawa	også	também	?	demasiado	pia	alltför	rhy	futhi	
dieselfde	samme	hetzelfde	same	sama	pareho	même	gleich	ia	céanna	stesso	idem	taua	samme	mesmo	?	misma	sawa	samma	un fath	efanayo	
sy	hun	ze	she	ŝi	siya	elle	sie	ia	sí	lei	quae	ia	hun	ela	?	ella	yeye	hon	hi	yena	
al	alle	alle	all	ĉiuj	lahat	tous	alle	a pau	go léir	tutto	omnes	katoa	alle	tudo	?	todo	kila	alla	gyd	konke	
daar	der	er	there	tie	doon	là	da	laila	ann	ci	ibi	i reira	det	lá	?	hay	huko	där	yno	khona	
wanneer	når	wanneer	when	kiam	kapag	quand	wenn	i ka wa	nuair	quando	cum	ka	når	quando	?	cuando	wakati	när	pan	lapho	
up	op	omhoog	up	supren	up	jusqu’à	nach oben	ae la	suas	su	ascendit	ake	opp	up	?	hasta	up	upp	i fyny	up	
gebruik	brug	gebruiken	use	uzo	gamitin	utiliser	verwendung	hoʻohana	úsáid	uso	usus	whakamahi	bruk	usar	?	uso	kutumia	använda	defnydd	ukusetshenziswa	
jou	deres	uw	your	via	iyong	votre	ihre	oukou	do	il tuo	tuus	koutou	din	seu	?	su	yako	din	eich	sakho	
manier	måde	manier	way	vojo	paraan	manière	weg	ala	bhealach	modo	modo	ara	måte	maneira	?	camino	njia	sätt	ffordd	indlela	
oor	om	over	about	proksimume	tungkol sa	sur	über	e pili ana i	faoi	circa	de	e pā ana ki	om	sobre	?	acerca	kuhusu	ca	tua	mayelana	
baie	mange	veel	many	multaj	marami	beaucoup	viele	he nui	go leor	molti	multis	maha	mange	muitos	?	muchos	wengi	många	llawer	abaningi	
dan	derefter	dan	then	tiam	pagkatapos	puis	dann	alaila	ansin	allora	tunc	ka	deretter	depois	?	entonces	kisha	sedan	yna	ke	
hulle	dem	hen	them	ilin	sila	les	sie	ia lakou	iad	loro	eorum	ratou	dem	eles	?	ellos	yao	dem	nhw	nabo	
skryf	skrive	schrijven	write	skribi	sumulat	écrire	schreiben	kakau	scríobh	scrivere	scribo	te tuhituhi	skrive	escrever	?	escribir	kuandika	skriva	ysgrifennu	ukubhala	
sou	ville	zou	would	farus	ibig	voudrais	würde	makemake	bheadh	sarebbe	utinam	pai	ville	faria	?	haría	ingekuwa	skulle	byddai	belungafica	
soos	ligesom	zoals	like	kiel	tulad ng	comme	wie	like me	cosúil le	come	sicut	rite	som	como	?	como	kama	liknande	hoffi	like	
so	så	dus	so	tiel	kaya	si	so	pela	mar sin	così	ita	na	så	assim	?	así	hivyo	så	felly	kanjalo	
hierdie	disse	deze	these	tiuj	mga	ces	diese	mau	na	queste	haec	enei	disse	estes	?	éstos	haya	dessa	rhain	la	
haar	hende	haar	her	ŝia	sa kanya	son	sie	ia	di	lei	eius	ia	henne	seu	?	su	yake	hennes	hi	wakhe	
lang	lang	lang	long	longajn	mahaba	long	lange	loihi	fada	lungo	longis	roa	lang	longo	?	largo	muda mrefu	lång	hir	eside	
maak	gøre	maken	make	fari	gumawa	faire	machen	hana	dhéanamh	rendere	fac	hanga	gjøre	fazer	?	hacer	kufanya	göra	gwneud	ukwenza	
ding	ting	ding	thing	afero	bagay	chose	sache	mea	rud	cosa	aliquid	mea	ting	coisa	?	cosa	kitu	sak	beth	into	
sien	se	zien	see	vidi	tingnan	voir	sehen	ike	féach	vedere	video	kite	se	veja	?	ver	kuona	se	gweld	bheka	
hom	ham	hem	him	li	sa kanya	lui	ihm	ia	air	lui	eo	ia ia	ham	ele	?	él	naye	honom	iddo	naye	
twee	to	twee	two	du	dalawang	deux	zwei	ʻelua	dhá	due	duobus	e rua	to	dois	?	dos	mbili	två	dau	ezimbili	
het	har	heeft	has	havas	may	a	hat	i	tá	ha	habet	he	har	tem	?	tiene	ina	har	mae gan	ine	
kyk	se	kijken	look	rigardi	tumingin	regarder	suchen	nana	breathnú	guardare	respice	titiro	se	olhar	?	buscar	kuangalia	ser	edrych	bhekani	
meer	mere	meer	more	pli	higit pa	plus	mehr	hou	níos mó	di più	more	atu	mer	mais	?	más	zaidi	mer	mwy	ngaphezulu	
dag	dag	dag	day	tagon	araw	jour	tag	lā	lá	giorno	die	ra	dag	dia	?	día	siku	dag	diwrnod	usuku	
kon	kunne	kon	could	povis	ng dati	pourrait	könnte	hiki	d’fhéadfadh	potuto	potuit	taea	kunne	poderia	?	podía	inaweza	kunde	gallai	okusemandleni	
gaan	gå	gaan	go	iri	pumunta	aller	gehen	hele	dul	andare	vade	haere	gå	ir	?	ir	kwenda	gå	fynd	hamba	
kom	komme	komen	come	venu	dumating	venir	kommen	hele mai	teacht	venire	venit	haere mai	kommer	vir	?	venir	kuja	komma	dod	uze	
het	gjorde	deed	did	faris	ginawa	fait	tat	hana	rinne	ha fatto	feceruntque	i mea ai	gjorde	fez	?	hizo	alifanya	gjorde	wnaeth	wenza	
aantal	nummer	aantal	number	nombro	numero	nombre	anzahl	helu	líon	numero	numerus	te tau	nummer	número	?	número	simu	antal	rhif	inombolo	
klink	lyd	klinken	sound	soni	tunog	son	klingen	hookani	fuaim	suono	tuba canerent	tangi	høres	som	?	sonar	sauti	sund	sain	kuzwakale	
geen	nej	geen	no	neniu	walang	aucun	nicht	ʻaʻole	aon	no	nulla	kahore	no	não	?	no	hakuna	nej	dim	akukho	
mees	mest	meest	most	plej	karamihan	plus	am meisten	loa	an chuid is mó	più	maxime	te nuinga	mest	mais	?	más	zaidi	mest	y rhan fwyaf	iningi	
mense	mennesker	mensen	people	homoj	mga tao	personnes	menschen	kanaka	daoine	persone	populus	te iwi	folk	pessoas	?	personas	watu	människor	pobl	abantu	
my	min	mijn	my	mian	ko	ma	meine	i koʻu	mo	il mio	mea	toku	min	meu	?	mi	yangu	min	fy	yami	
oor	løbet	meer dan	over	super	sa ibabaw	sur	über	maluna o	níos mó ná	oltre	supra	ki runga	løpet	sobre	?	sobre	juu ya	över	dros	phezu	
